time,temperature_2m_max (°C),rain_sum (mm),precipitation_hours (h),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,weathercode_3,weathercode_53
7/13/2019,33.8,0,0,5,28,28,2019,7,1,0,0,0,0,0
3/3/2018,24,0,0,5,9,9,2018,3,1,0,0,0,0,0
6/26/2020,28.8,0.3,3,4,26,26,2020,6,0,0,0,1,0,0
1/2/2020,20.9,3.5,10,3,1,1,2020,1,0,0,0,1,0,1
8/16/2020,32,0,0,6,34,34,2020,8,1,0,1,0,0,0
8/13/2021,33.3,0,0,4,33,33,2021,8,0,0,0,1,0,0
4/25/2020,31.2,0.2,1,5,17,17,2020,4,1,0,0,0,0,0
2/14/2017,23.2,0,0,1,8,8,2017,2,0,0,0,1,0,0
3/4/2021,26.3,0,0,3,10,10,2021,3,0,0,0,1,0,0
1/24/2022,14.6,5.9,17,0,5,5,2022,1,0,0,0,1,0,1
4/15/2021,31.9,0,0,3,16,16,2021,4,0,0,0,1,0,0
9/27/2021,29.4,0,0,0,40,40,2021,9,0,0,0,1,0,0
2/10/2022,17.5,0,0,3,7,7,2022,2,0,0,0,1,1,0
8/21/2021,31.7,0.5,1,5,34,34,2021,8,1,0,0,0,0,1
12/12/2020,24.3,0,0,5,50,50,2020,12,1,0,0,0,0,0
8/17/2020,31.6,0.3,1,0,34,34,2020,8,0,0,0,1,0,0
7/17/2021,31.5,0,0,5,29,29,2021,7,1,0,0,0,0,0
9/12/2017,32.4,0,0,1,38,38,2017,9,0,0,0,1,0,0
6/14/2022,33.7,0,0,1,25,25,2022,6,0,0,0,1,0,0
1/24/2020,19.4,0,0,4,4,4,2020,1,0,0,0,1,1,0
10/17/2021,20.9,0,0,6,43,43,2021,10,1,0,1,0,0,0
9/27/2020,33.8,0,0,6,40,40,2020,9,1,0,1,0,0,0
1/7/2021,20.2,0,0,3,2,2,2021,1,0,0,0,1,0,0
3/12/2020,29.5,0,0,3,11,11,2020,3,0,0,1,1,0,0
2/16/2017,18.5,0.1,1,3,8,8,2017,2,0,0,0,1,0,0
1/7/2018,22.4,0,0,6,2,2,2018,1,1,0,1,0,1,0
12/7/2017,7.8,5.6,13,3,50,50,2017,12,0,0,0,1,0,0
4/8/2018,26.1,0,0,6,15,15,2018,4,1,0,1,0,0,0
11/8/2020,26.7,0,0,6,46,46,2020,11,1,0,1,0,0,0
1/26/2019,14.5,12.5,24,5,4,4,2019,1,1,0,0,0,0,0
8/15/2018,34.7,0,0,2,33,33,2018,8,0,0,0,1,0,0
8/19/2017,33.6,0.2,1,5,34,34,2017,8,1,0,0,0,0,0
6/9/2017,34.1,0,0,4,24,24,2017,6,0,0,0,1,0,0
4/19/2020,35.6,0,0,6,17,17,2020,4,1,0,1,0,0,0
12/3/2018,21,3.5,13,0,49,49,2018,12,0,0,0,1,0,0
6/30/2018,32,0,0,5,26,26,2018,6,1,0,0,0,0,0
1/4/2022,20.7,0,0,1,2,2,2022,1,0,0,0,1,0,0
2/9/2020,28.1,0.1,1,6,7,7,2020,2,1,0,1,0,0,0
8/3/2022,37.1,0,0,2,32,32,2022,8,0,0,0,1,0,0
12/15/2020,23.7,0,0,1,51,51,2020,12,0,0,0,1,0,0
9/23/2017,29.5,0.1,1,5,39,39,2017,9,1,0,0,0,0,0
3/9/2020,24.8,1.7,6,0,11,11,2020,3,0,0,0,1,0,1
6/18/2017,38.5,0,0,6,26,26,2017,6,1,0,0,0,0,0
4/25/2021,30.5,0,0,6,18,18,2021,4,1,0,1,0,0,0
9/1/2017,32.4,0,0,4,36,36,2017,9,0,0,0,1,0,0
5/3/2020,32.4,0,0,6,19,19,2020,5,1,0,1,0,0,0
5/17/2020,32,0,0,6,21,21,2020,5,1,0,0,0,0,0
2/1/2021,18.9,0,0,0,6,6,2021,2,0,1,0,0,0,0
11/29/2021,20.4,0,0,0,49,49,2021,11,0,0,1,1,0,0
6/18/2018,31.7,1.6,5,0,25,25,2018,6,0,0,0,1,0,1
2/17/2018,26.2,0.1,1,5,7,7,2018,2,1,0,0,0,0,0
8/30/2022,31.3,0.3,1,1,36,36,2022,8,0,0,0,1,0,0
9/25/2022,31.4,3.5,6,6,40,40,2022,9,1,0,0,0,0,0
1/7/2020,18.3,0,0,1,2,2,2020,1,0,0,0,1,0,0
